date,product,region,revenue,cost,profit,units_sold,customer_id,conversion_rate
2024-01-01,Laptop,North,5000,3000,2000,10,C001,0.85
2024-01-02,Mouse,South,1200,600,600,50,C002,0.92
2024-01-03,Keyboard,East,1500,800,700,35,C003,0.88
2024-01-04,Monitor,West,3200,1600,1600,8,C004,0.95
2024-01-05,Laptop,North,5500,3100,2400,11,C005,0.89
2024-01-06,Mouse,South,1800,850,950,60,C006,0.91
2024-01-07,Keyboard,East,2200,1000,1200,45,C007,0.87
2024-01-08,Monitor,West,3800,1900,1900,10,C008,0.94
2024-01-09,Laptop,North,6200,3500,2700,12,C009,0.86
2024-01-10,Mouse,South,2500,1100,1400,75,C010,0.93
2024-01-11,Keyboard,East,2800,1200,1600,55,C011,0.89
2024-01-12,Monitor,West,4500,2100,2400,12,C012,0.96
2024-01-13,Laptop,North,7000,3800,3200,14,C013,0.88
2024-01-14,Mouse,South,3200,1400,1800,95,C014,0.90
2024-01-15,Keyboard,East,3500,1500,2000,70,C015,0.85
2024-01-16,Monitor,West,5200,2300,2900,14,C016,0.97
2024-01-17,Laptop,North,7800,4000,3800,15,C017,0.92
2024-01-18,Mouse,South,4000,1600,2400,110,C018,0.94
2024-01-19,Keyboard,East,4200,1700,2500,85,C019,0.91
2024-01-20,Monitor,West,6000,2600,3400,16,C020,0.98
2024-01-21,Laptop,North,8500,4200,4300,17,C021,0.93
2024-01-22,Mouse,South,4800,1900,2900,130,C022,0.95
2024-01-23,Keyboard,East,5000,2000,3000,100,C023,0.92
2024-01-24,Monitor,West,6800,2900,3900,18,C024,0.99
2024-01-25,Laptop,North,9200,4400,4800,18,C025,0.94
2024-01-26,Mouse,South,5500,2100,3400,150,C026,0.96
2024-01-27,Keyboard,East,5800,2300,3500,115,C027,0.93
2024-01-28,Monitor,West,7500,3200,4300,20,C028,1.00
2024-01-29,Laptop,North,10000,4600,5400,20,C029,0.95
2024-01-30,Mouse,South,6200,2300,3900,170,C030,0.97
